id,severity,debt
3,3,5
3,3,5
3,3,20
3,3,10
3,3,10
3,3,20
3,3,10
3,3,10
3,3,20
3,3,10
3,3,10
3,3,10
3,3,30
3,3,20
3,3,10
3,3,60
3,3,20
3,3,10
3,3,10
3,3,5
3,3,60
3,3,5
3,3,30
3,3,30
3,3,120
3,3,5
3,3,60
3,3,10
3,3,10
3,3,20
3,3,5
3,3,10
3,3,20
3,3,10
3,3,5
3,3,20
3,3,5
3,3,30
3,3,20
3,3,10
3,3,1
3,3,120
3,3,120
3,3,5
3,3,5
3,3,5
3,3,5
3,3,20
3,3,20
3,3,5
3,3,120
3,3,20
3,3,120
3,3,120
3,3,60
3,3,60
3,3,60
3,3,20
3,3,10
3,3,20
3,3,5
3,3,5
3,3,20
3,3,5
3,3,20
3,3,5
3,3,30
3,3,10
3,3,5
3,3,10
3,3,10
3,3,2
3,3,20
3,3,5
3,3,20
3,3,5
3,3,5
3,3,20
3,3,10
3,3,5
3,3,20
3,3,10
3,3,30
3,3,10
3,3,10
3,3,20
3,3,10
3,3,20
3,3,5
3,3,20
3,3,10
3,3,5
3,3,20
3,3,20
3,3,5
3,3,5
3,3,5
3,3,10
3,3,5
3,3,20
3,3,5
3,3,10
3,3,5
3,3,5
3,3,20
3,3,20
3,3,5
3,3,20
3,3,10
3,3,20
3,3,10
3,3,10
3,3,20
3,3,10
3,3,10
3,3,5
3,3,10
3,3,10
3,3,10
3,3,20
3,3,5
3,3,5
3,3,20
3,3,30
3,3,30
3,3,30
3,3,30
3,3,30
3,3,5
3,3,30
3,3,2
3,3,20
3,3,20
3,3,5
3,3,30
3,3,30
3,3,20
3,3,30
3,3,30
3,3,30
3,3,20
3,3,20
3,3,5
3,3,20
3,3,30
3,3,60
3,3,60
3,3,10
3,3,10
3,3,20
3,3,20
3,3,5
3,3,60
3,3,20
3,3,30
3,3,20
3,3,60
3,3,10
3,3,1
3,3,20
3,3,30
3,3,30
3,3,20
3,3,10
3,3,10
3,3,10
3,3,20
3,3,5
3,3,10
3,3,20
3,3,20
3,3,20
3,3,20
3,3,5
3,3,20
3,3,10
3,3,10
3,3,10
3,3,5
3,3,20
3,3,20
3,3,20
3,3,20
3,3,5
3,3,20
3,3,5
3,3,20
3,3,20
3,3,20
3,3,20
3,3,5
3,3,5
3,3,10
3,3,20
3,3,20
3,3,20
3,3,20
3,3,5
3,3,5
3,3,5
3,3,20
3,3,20
3,3,5
3,3,5
3,3,20
3,3,20
3,3,20
3,3,20
3,3,1
3,3,20
3,3,20
3,3,10
3,3,5
3,3,20
3,3,60
3,3,20
3,3,20
3,3,20
3,3,10
3,3,20
3,3,5
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,5
3,3,20
3,3,10
3,3,5
3,3,5
3,3,20
3,3,20
3,3,10
3,3,30
3,3,20
3,3,10
3,3,10
3,3,20
3,3,20
3,3,5
3,3,20
3,3,20
3,3,10
3,3,20
3,3,5
3,3,20
3,3,20
3,3,10
3,3,5
3,3,20
3,3,20
3,3,20
3,3,20
3,3,5
3,3,20
3,3,10
3,3,20
3,3,20
3,3,10
3,3,20
3,3,5
3,3,20
3,3,20
3,3,20
3,3,10
3,3,20
3,3,20
3,3,5
3,3,10
3,3,10
3,3,20
3,3,20
3,3,20
3,3,20
3,3,10
3,3,20
3,3,30
3,3,30
3,3,120
3,3,30
3,3,5
3,3,5
3,3,60
3,3,30
3,3,10
3,3,30
3,3,20
3,3,5
3,3,10
3,3,20
3,3,20
3,3,10
3,3,10
3,3,20
3,3,5
3,3,20
3,3,30
3,3,20
3,3,20
3,3,10
3,3,20
3,3,5
3,3,20
3,3,10
3,3,20
3,3,10
3,3,10
3,3,10
3,3,30
3,3,5
3,3,10
3,3,20
3,3,5
3,3,20
3,3,5
3,3,30
3,3,20
3,3,5
3,3,5
3,3,5
3,3,5
3,3,5
3,3,5
3,3,10
3,3,20
3,3,5
3,3,5
3,3,10
3,3,10
3,3,20
3,3,5
3,3,20
3,3,60
3,3,5
3,3,30
3,3,20
3,3,10
3,3,10
3,3,60
3,3,5
3,3,20
3,3,10
3,3,30
3,3,20
3,3,30
3,3,5
3,3,5
3,3,5
3,3,5
3,3,20
3,3,5
3,3,10
3,3,1
3,3,5
3,3,1
3,3,1
3,3,5
3,3,10
3,3,20
3,3,20
3,3,30
3,3,10
3,3,20
3,3,30
3,3,5
3,3,20
3,3,20
3,3,30
3,3,30
3,3,30
3,3,30
3,3,30
3,3,10
3,3,20
3,3,5
3,3,60
3,3,20
3,3,60
3,3,10
3,3,20
3,3,10
3,3,10
3,3,20
3,3,10
3,3,5
3,3,10
3,3,5
3,3,1
3,3,5
3,3,1
3,3,20
3,3,5
3,3,1
3,3,1
3,3,10
3,3,5
3,3,1
3,3,10
3,3,10
3,3,10
3,3,5
3,3,20
3,3,10
3,3,30
3,3,20
3,3,10
3,3,20
3,3,20
3,3,10
3,3,10
3,3,10
3,3,30
3,3,20
3,3,20
3,3,10
3,3,20
3,3,10
3,3,10
3,3,20
3,3,10
3,3,5
3,3,10
3,3,20
3,3,20
3,3,20
3,3,20
3,3,10
3,3,20
3,3,20
3,3,10
3,3,20
3,3,5
3,3,30
3,3,5
3,3,5
3,3,5
3,3,5
3,3,5
3,3,5
3,3,5
3,3,30
3,3,30
3,3,30
3,3,5
3,3,20
3,3,5
3,3,20
3,3,10
3,3,20
3,3,10
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,5
3,3,20
3,3,10
3,3,5
3,3,5
3,3,10
3,3,20
3,3,30
3,3,10
3,3,10
3,3,30
3,3,20
3,3,20
3,3,5
3,3,30
3,3,5
3,3,5
3,3,5
3,3,20
3,3,5
3,3,10
3,3,20
3,3,20
3,3,20
3,3,20
3,3,10
3,3,10
3,3,5
3,3,10
3,3,20
3,3,10
3,3,20
3,3,5
3,3,10
3,3,60
3,3,10
3,3,20
3,3,60
3,3,10
3,3,10
3,3,10
3,3,5
3,3,5
3,3,10
3,3,10
3,3,20
3,3,5
3,3,20
3,3,10
3,3,5
3,3,10
3,3,5
3,3,10
3,3,10
3,3,10
3,3,5
3,3,10
3,3,5
3,3,10
3,3,20
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,20
3,3,10
3,3,10
3,3,10
3,3,10
3,3,60
3,3,10
3,3,10
3,3,10
3,3,60
3,3,10
3,3,10
3,3,10
3,3,10
3,3,20
3,3,10
3,3,5
3,3,20
3,3,10
3,3,10
3,3,5
3,3,20
3,3,20
3,3,10
3,3,20
3,3,10
3,3,5
3,3,30
3,3,20
3,3,10
3,3,10
3,3,10
3,3,20
3,3,10
3,3,20
3,3,5
3,3,10
3,3,10
3,3,5
3,3,20
3,3,240
3,3,10
3,3,20
3,3,5
3,3,60
3,3,60
3,3,10
3,3,10
3,3,5
3,3,20
3,3,20
3,3,30
3,3,20
3,3,10
3,3,5
3,3,30
3,3,5
3,3,30
3,3,10
3,3,30
3,3,20
3,3,5
3,3,30
3,3,30
3,3,5
3,3,5
3,3,20
3,3,10
3,3,20
3,3,10
3,3,20
3,3,20
3,3,10
3,3,30
3,3,20
3,3,5
3,3,30
3,3,20
3,3,5
3,3,30
3,3,30
3,3,30
3,3,30
3,3,5
3,3,20
3,3,30
3,3,20
3,3,5
3,3,20
3,3,5
3,3,30
3,3,20
3,3,10
3,3,30
3,3,10
3,3,10
3,3,30
3,3,20
3,3,30
3,3,60
3,3,30
3,3,30
3,3,30
3,3,5
3,3,10
3,3,60
3,3,60
3,3,20
3,3,20
3,3,10
3,3,10
3,3,5
3,3,5
3,3,20
3,3,30
3,3,10
3,3,5
3,3,20
3,3,30
3,3,30
3,3,30
3,3,30
3,3,5
3,3,5
3,3,20
3,3,1
3,3,60
3,3,10
3,3,20
3,3,20
3,3,10
3,3,20
3,3,20
3,3,60
3,3,2
3,3,10
3,3,20
3,3,10
3,3,60
3,3,10
3,3,10
3,3,10
3,3,20
3,3,5
3,3,20
3,3,20
3,3,10
3,3,10
3,3,20
3,3,5
3,3,10
3,3,5
3,3,10
3,3,10
3,3,10
3,3,20
3,3,30
3,3,10
3,3,10
3,3,20
3,3,10
3,3,20
3,3,5
3,3,10
3,3,10
3,3,10
3,3,10
3,3,20
3,3,20
3,3,10
3,3,20
3,3,20
3,3,20
3,3,5
3,3,20
3,3,30
3,3,5
3,3,10
3,3,10
3,3,10
3,3,60
3,3,20
3,3,10
3,3,20
3,3,10
3,3,10
3,3,20
3,3,5
3,3,5
3,3,20
3,3,5
3,3,5
3,3,5
3,3,10
3,3,20
3,3,20
3,3,10
3,3,5
3,3,20
3,3,20
3,3,5
3,3,20
3,3,60
3,3,20
3,3,30
3,3,5
3,3,10
3,3,10
3,3,20
3,3,10
3,3,20
3,3,20
3,3,120
3,3,5
3,3,10
3,3,5
3,3,30
3,3,10
3,3,10
3,3,20
3,3,10
3,3,5
3,3,2
3,3,30
3,3,5
3,3,10
3,3,5
3,3,10
3,3,5
3,3,5
3,3,20
3,3,5
3,3,30
3,3,5
3,3,120
3,3,20
3,3,20
3,3,20
3,3,5
3,3,20
3,3,5
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,10
3,3,20
3,3,5
3,3,5
3,3,20
3,3,20
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,20
3,3,10
3,3,5
3,3,20
3,3,20
3,3,60
3,3,20
3,3,5
3,3,20
3,3,20
3,3,5
3,3,30
3,3,5
3,3,60
3,3,5
3,3,20
3,3,30
3,3,5
3,3,10
3,3,10
3,3,20
3,3,20
3,3,60
3,3,5
3,3,2
3,3,20
3,3,60
3,3,120
3,3,5
3,3,60
3,3,5
3,3,20
3,3,20
3,3,10
3,3,20
3,3,5
3,3,10
3,3,20
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,20
3,3,5
3,3,10
3,3,5
3,3,10
3,3,10
3,3,20
3,3,5
3,3,5
3,3,10
3,3,120
3,3,5
3,3,20
3,3,5
3,3,20
3,3,20
3,3,30
3,3,5
3,3,30
3,3,20
3,3,5
3,3,10
3,3,30
3,3,10
3,3,10
3,3,5
3,3,5
3,3,10
3,3,10
3,3,10
3,3,5
3,3,10
3,3,20
3,3,20
3,3,10
3,3,10
3,3,5
3,3,10
3,3,30
3,3,10
3,3,20
3,3,5
3,3,10
3,3,20
3,3,5
3,3,120
3,3,10
3,3,20
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,30
3,3,20
3,3,20
3,3,5
3,3,5
3,3,20
3,3,20
3,3,5
3,3,10
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,10
3,3,10
3,3,5
3,3,10
3,3,10
3,3,60
3,3,10
3,3,10
3,3,20
3,3,10
3,3,10
3,3,5
3,3,10
3,3,20
3,3,5
3,3,5
3,3,30
3,3,20
3,3,5
3,3,10
3,3,20
3,3,10
3,3,20
3,3,20
3,3,20
3,3,10
3,3,10
3,3,10
3,3,10
3,3,20
3,3,5
3,3,10
3,3,20
3,3,20
3,3,10
3,3,5
3,3,10
3,3,10
3,3,10
3,3,5
3,3,20
3,3,10
3,3,10
3,3,20
3,3,10
3,3,20
3,3,10
3,3,20
3,3,10
3,3,10
3,3,10
3,3,20
3,3,10
3,3,10
3,3,10
3,3,30
3,3,20
3,3,5
3,3,5
3,3,5
3,3,20
3,3,5
3,3,10
3,3,20
3,3,5
3,3,20
3,3,5
3,3,20
3,3,20
3,3,20
3,3,20
3,3,5
3,3,120
3,3,60
3,3,20
3,3,30
3,3,10
3,3,60
3,3,20
3,3,5
3,3,10
3,3,20
3,3,20
3,3,60
3,3,20
3,3,5
3,3,20
3,3,60
3,3,10
3,3,10
3,3,10
3,3,10
3,3,20
3,3,20
3,3,10
3,3,20
3,3,10
3,3,10
3,3,20
3,3,5
3,3,10
3,3,20
3,3,5
3,3,60
3,3,60
3,3,120
3,3,120
3,3,60
3,3,20
3,3,5
3,3,5
3,3,20
3,3,10
3,3,20
3,3,60
3,3,20
3,3,20
3,3,5
3,3,10
3,3,20
3,3,5
3,3,10
3,3,10
3,3,10
3,3,20
3,3,10
3,3,20
3,3,60
3,3,20
3,3,5
3,3,5
3,3,20
3,3,20
3,3,20
3,3,60
3,3,5
3,3,20
3,3,60
3,3,20
3,3,20
3,3,20
3,3,5
3,3,60
3,3,60
3,3,20
3,3,120
3,3,20
3,3,5
3,3,20
3,3,20
3,3,120
3,3,20
3,3,5
3,3,5
3,3,20
3,3,60
3,3,20
3,3,5
3,3,10
3,3,20
3,3,20
3,3,5
3,3,20
3,3,5
3,3,5
3,3,5
3,3,20
3,3,10
3,3,5
3,3,30
3,3,20
3,3,120
3,3,20
3,3,60
3,3,60
3,3,20
3,3,20
3,3,20
3,3,30
3,3,5
3,3,60
3,3,20
3,3,5
3,3,10
3,3,20
3,3,180
3,3,5
3,3,20
3,3,20
3,3,10
3,3,20
3,3,20
3,3,5
3,3,180
3,3,20
3,3,5
3,3,20
3,3,20
3,3,120
3,3,10
3,3,10
3,3,10
3,3,5
3,3,5
3,3,10
3,3,20
3,3,5
3,3,180
3,3,20
3,3,20
3,3,120
3,3,20
3,3,120
3,3,120
3,3,20
3,3,20
3,3,20
3,3,20
3,3,10
3,3,60
3,3,5
3,3,20
3,3,20
3,3,5
3,3,20
3,3,20
3,3,5
3,3,120
3,3,20
3,3,10
3,3,20
3,3,5
3,3,60
3,3,20
3,3,10
3,3,20
3,3,120
3,3,5
3,3,20
3,3,60
3,3,20
3,3,10
3,3,10
3,3,20
3,3,10
3,3,5
3,3,20
3,3,5
3,3,10
3,3,20
3,3,20
3,3,20
3,3,20
3,3,5
3,3,10
3,3,20
3,3,60
3,3,20
3,3,60
3,3,20
3,3,60
3,3,20
3,3,20
3,3,10
3,3,10
3,3,20
3,3,120
3,3,20
3,3,60
3,3,20
3,3,20
3,3,5
3,3,20
3,3,20
3,3,5
3,3,20
3,3,20
3,3,2
3,3,10
3,3,5
3,3,20
3,3,30
3,3,10
3,3,20
3,3,30
3,3,20
3,3,20
3,3,5
3,3,20
3,3,20
3,3,10
3,3,10
3,3,30
3,3,10
3,3,30
3,3,20
3,3,10
3,3,10
3,3,10
3,3,30
3,3,5
3,3,20
3,3,20
3,3,20
3,3,60
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,5
3,3,5
3,3,20
3,3,5
3,3,20
3,3,5
3,3,10
3,3,20
3,3,10
3,3,10
3,3,10
3,3,20
3,3,30
3,3,20
3,3,30
3,3,10
3,3,10
3,3,10
3,3,20
3,3,30
3,3,10
3,3,30
3,3,10
3,3,20
3,3,10
3,3,10
3,3,20
3,3,20
3,3,20
3,3,20
3,3,10
3,3,10
3,3,20
3,3,5
3,3,10
3,3,20
3,3,20
3,3,10
3,3,20
3,3,5
3,3,5
3,3,5
3,3,20
3,3,5
3,3,20
3,3,5
3,3,10
3,3,10
3,3,5
3,3,5
3,3,20
3,3,10
3,3,20
3,3,30
3,3,20
3,3,10
3,3,20
3,3,5
3,3,30
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,60
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,10
3,3,5
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,10
3,3,20
3,3,10
3,3,20
3,3,20
3,3,20
3,3,20
3,3,10
3,3,20
3,3,20
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,20
3,3,10
3,3,30
3,3,10
3,3,30
3,3,20
3,3,10
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,10
3,3,10
3,3,20
3,3,10
3,3,5
3,3,10
3,3,5
3,3,10
3,3,5
3,3,10
3,3,5
3,3,60
3,3,10
3,3,20
3,3,20
3,3,10
3,3,20
3,3,60
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,30
3,3,20
3,3,20
3,3,20
3,3,20
3,3,30
3,3,20
3,3,20
3,3,5
3,3,10
3,3,2
3,3,1
3,3,1
3,3,2
3,3,10
3,3,5
3,3,60
3,3,20
3,3,20
3,3,5
3,3,5
3,3,10
3,3,10
3,3,20
3,3,10
3,3,120
3,3,60
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,20
3,3,20
3,3,5
3,3,20
3,3,10
3,3,20
3,3,10
3,3,5
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,20
3,3,10
3,3,10
3,3,10
3,3,10
3,3,5
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,20
3,3,10
3,3,10
3,3,5
3,3,10
3,3,10
3,3,10
3,3,30
3,3,30
3,3,300
3,3,1
3,3,1
3,3,1
3,3,1
3,3,1
3,3,1
3,3,30
3,3,30
3,3,30
3,3,30
3,3,30
3,3,30
3,3,30
3,3,30
3,3,30
3,3,10
3,3,10
3,3,20
3,3,30
3,3,30
3,3,20
3,3,5
3,3,60
3,3,5
3,3,5
3,3,10
3,3,10
3,3,5
3,3,5
3,3,60
3,3,20
3,3,5
3,3,10
3,3,60
3,3,5
3,3,60
3,3,60
3,3,20
3,3,20
3,3,20
3,3,10
3,3,20
3,3,60
3,3,60
3,3,5
3,3,5
3,3,20
3,3,20
3,3,5
3,3,20
3,3,20
3,3,20
3,3,5
3,3,30
3,3,60
3,3,10
3,3,60
3,3,60
3,3,5
3,3,20
3,3,20
3,3,5
3,3,20
3,3,10
3,3,20
3,3,10
3,3,10
3,3,10
3,3,5
3,3,5
3,3,20
3,3,5
3,3,20
3,3,10
3,3,5
3,3,20
3,3,20
3,3,20
3,3,10
3,3,30
3,3,10
3,3,20
3,3,5
3,3,20
3,3,10
3,3,10
3,3,10
3,3,20
3,3,10
3,3,30
3,3,5
3,3,20
3,3,20
3,3,60
3,3,5
3,3,1
3,3,1
3,3,1
3,3,300
3,3,1
3,3,1
3,3,30
3,3,1
3,3,20
3,3,5
3,3,5
3,3,300
3,3,20
3,3,30
3,3,20
3,3,10
3,3,30
3,3,10
3,3,20
3,3,5
3,3,60
3,3,20
3,3,10
3,3,20
3,3,10
3,3,180
3,3,20
3,3,20
3,3,10
3,3,10
3,3,5
3,3,20
3,3,10
3,3,20
3,3,20
3,3,120
3,3,10
3,3,30
3,3,240
3,3,30
3,3,20
3,3,5
3,3,5
3,3,20
3,3,5
3,3,10
3,3,60
3,3,360
3,3,5
3,3,20
3,3,5
3,3,20
3,3,20
3,3,5
3,3,10
3,3,5
3,3,10
3,3,20
3,3,10
3,3,5
3,3,10
3,3,10
3,3,10
3,3,5
3,3,20
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,5
3,3,5
3,3,10
3,3,20
3,3,10
3,3,5
3,3,10
3,3,5
3,3,5
3,3,5
3,3,20
3,3,10
3,3,20
3,3,5
3,3,60
3,3,10
3,3,20
3,3,10
3,3,10
3,3,5
3,3,10
3,3,20
3,3,20
3,3,20
3,3,5
3,3,10
3,3,20
3,3,5
3,3,20
3,3,5
3,3,20
3,3,5
3,3,20
3,3,20
3,3,20
3,3,10
3,3,5
3,3,10
3,3,20
3,3,5
3,3,30
3,3,20
3,3,10
3,3,5
3,3,10
3,3,10
3,3,20
3,3,10
3,3,10
3,3,20
3,3,10
3,3,20
3,3,10
3,3,10
3,3,5
3,3,10
3,3,10
3,3,30
3,3,10
3,3,5
3,3,20
3,3,5
3,3,20
3,3,10
3,3,20
3,3,10
3,3,20
3,3,2
3,3,20
3,3,20
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,5
3,3,2
3,3,10
3,3,20
3,3,20
3,3,5
3,3,20
3,3,20
3,3,5
3,3,10
3,3,120
3,3,10
3,3,30
3,3,5
3,3,30
3,3,10
3,3,20
3,3,10
3,3,10
3,3,10
3,3,30
3,3,10
3,3,60
3,3,30
3,3,10
3,3,10
3,3,5
3,3,5
3,3,20
3,3,20
3,3,5
3,3,20
3,3,20
3,3,10
3,3,10
3,3,10
3,3,5
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,20
3,3,10
3,3,5
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,20
3,3,10
3,3,5
3,3,20
3,3,10
3,3,10
3,3,20
3,3,20
3,3,20
3,3,5
3,3,10
3,3,20
3,3,20
3,3,10
3,3,10
3,3,20
3,3,20
3,3,5
3,3,20
3,3,10
3,3,5
3,3,10
3,3,10
3,3,10
3,3,20
3,3,20
3,3,10
3,3,5
3,3,10
3,3,10
3,3,10
3,3,10
3,3,5
3,3,20
3,3,2
3,3,20
3,3,10
3,3,10
3,3,10
3,3,5
3,3,5
3,3,5
3,3,30
3,3,30
3,3,60
3,3,20
3,3,5
3,3,10
3,3,10
3,3,10
3,3,10
3,3,10
3,3,20
3,3,5
3,3,10
3,3,20
3,3,10
3,3,10
3,3,20
3,3,10
3,3,10
3,3,5
3,3,10
3,3,30
3,3,20
3,3,30
3,3,30
3,3,10
3,3,20
3,3,10
3,3,30
3,3,10
3,3,5
3,3,10
3,3,20
3,3,10
3,3,20
3,3,10
3,3,5
3,3,20
3,3,20
3,3,5
3,3,20
3,3,5
3,3,20
3,3,5
3,3,20
3,3,20
3,3,10
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,5
3,3,20
3,3,20
3,3,10
3,3,5
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,20
3,3,30
3,3,30
3,3,5
3,3,20
3,3,30
3,3,10
3,3,20
3,3,5
3,3,5
3,3,20
3,3,10
3,3,20
3,3,20
3,3,20
3,3,20
3,3,30
3,3,20
3,3,5
3,3,5
3,3,5
3,3,20
3,3,10
3,3,20
3,3,5
3,3,20
3,3,20
3,3,10
3,3,20
3,3,10
3,3,10
3,3,20
3,3,20
3,3,5
3,3,20
3,3,10
3,3,10
3,3,30
3,3,10
3,3,30
3,3,20
3,3,5
3,3,10
3,3,20
3,3,60
3,3,20
3,3,20
3,3,5
3,3,20
3,3,5
3,3,5
3,3,10
3,3,60
3,3,60
3,3,20
3,3,10
3,3,10
3,3,5
3,3,20
3,3,20
3,3,20
3,3,5
3,3,60
3,3,5
3,3,20
3,3,10
3,3,60
3,3,10
3,3,20
